[2025-07-21 10:57:58.591] Query: BBOX(56.2955,56.4955,61.942,62.142), Zoom: 12, Rows: 1000, SQL Time: 1625ms, Total Time: 1663ms
[2025-07-21 10:57:59.990] Query: BBOX(56.2956,56.4956,61.9427,62.1427), Zoom: 12, Rows: 1000, SQL Time: 54ms, Total Time: 66ms
[2025-07-21 10:58:00.018] Query: BBOX(56.2968,56.4968,61.9487,62.1487), Zoom: 12, Rows: 1000, SQL Time: 19ms, Total Time: 22ms
[2025-07-21 10:58:00.241] Query: BBOX(56.2977,56.4977,61.9536,62.1536), Zoom: 12, Rows: 1000, SQL Time: 204ms, Total Time: 210ms
[2025-07-21 10:58:01.441] Query: BBOX(56.3006,56.5006,62.0045,62.2045), Zoom: 12, Rows: 1000, SQL Time: 1166ms, Total Time: 1178ms
[2025-07-21 10:58:02.313] Query: BBOX(56.3218,56.5218,62.2472,62.4472), Zoom: 12, Rows: 1000, SQL Time: 829ms, Total Time: 842ms
[2025-07-21 10:58:03.258] Query: BBOX(56.3192,56.5192,62.0847,62.2847), Zoom: 12, Rows: 1000, SQL Time: 916ms, Total Time: 928ms
[2025-07-21 10:58:03.289] Query: BBOX(56.315,56.515,61.8995,62.0995), Zoom: 12, Rows: 1000, SQL Time: 20ms, Total Time: 23ms
[2025-07-21 10:58:03.319] Query: BBOX(56.315,56.515,61.8984,62.0984), Zoom: 12, Rows: 1000, SQL Time: 15ms, Total Time: 20ms
[2025-07-21 10:58:03.346] Query: BBOX(56.315,56.515,61.8975,62.0975), Zoom: 12, Rows: 1000, SQL Time: 15ms, Total Time: 20ms
[2025-07-21 10:58:03.378] Query: BBOX(56.315,56.515,61.8969,62.0969), Zoom: 12, Rows: 1000, SQL Time: 19ms, Total Time: 23ms
[2025-07-21 10:58:03.404] Query: BBOX(56.315,56.515,61.8962,62.0962), Zoom: 12, Rows: 1000, SQL Time: 14ms, Total Time: 19ms
[2025-07-21 10:58:03.427] Query: BBOX(56.315,56.515,61.8958,62.0958), Zoom: 12, Rows: 1000, SQL Time: 12ms, Total Time: 16ms
[2025-07-21 10:58:03.450] Query: BBOX(56.315,56.515,61.8955,62.0955), Zoom: 12, Rows: 1000, SQL Time: 13ms, Total Time: 16ms
[2025-07-21 10:58:03.476] Query: BBOX(56.3149,56.5149,61.8946,62.0947), Zoom: 12, Rows: 1000, SQL Time: 14ms, Total Time: 17ms
[2025-07-21 10:58:03.501] Query: BBOX(56.3148,56.5148,61.894,62.094), Zoom: 12, Rows: 1000, SQL Time: 14ms, Total Time: 18ms
[2025-07-21 10:58:03.527] Query: BBOX(56.3146,56.5146,61.8931,62.0931), Zoom: 12, Rows: 1000, SQL Time: 14ms, Total Time: 18ms
[2025-07-21 10:58:03.553] Query: BBOX(56.3144,56.5144,61.8924,62.0924), Zoom: 12, Rows: 1000, SQL Time: 13ms, Total Time: 18ms
[2025-07-21 10:58:03.579] Query: BBOX(56.3143,56.5143,61.8918,62.0918), Zoom: 12, Rows: 1000, SQL Time: 13ms, Total Time: 18ms
[2025-07-21 10:58:03.604] Query: BBOX(56.3141,56.5141,61.8911,62.0911), Zoom: 12, Rows: 1000, SQL Time: 13ms, Total Time: 18ms
[2025-07-21 10:58:03.632] Query: BBOX(56.3136,56.5136,61.89,62.09), Zoom: 12, Rows: 1000, SQL Time: 16ms, Total Time: 20ms
[2025-07-21 10:58:03.657] Query: BBOX(56.3132,56.5132,61.8886,62.0886), Zoom: 12, Rows: 1000, SQL Time: 13ms, Total Time: 18ms
[2025-07-21 10:58:03.682] Query: BBOX(56.3127,56.5127,61.8873,62.0873), Zoom: 12, Rows: 1000, SQL Time: 13ms, Total Time: 17ms
[2025-07-21 10:58:03.708] Query: BBOX(56.3121,56.5121,61.8851,62.0851), Zoom: 12, Rows: 1000, SQL Time: 15ms, Total Time: 19ms
[2025-07-21 10:58:03.734] Query: BBOX(56.3114,56.5114,61.8829,62.0829), Zoom: 12, Rows: 1000, SQL Time: 13ms, Total Time: 17ms
[2025-07-21 10:58:03.758] Query: BBOX(56.3111,56.5111,61.882,62.082), Zoom: 12, Rows: 1000, SQL Time: 13ms, Total Time: 17ms
[2025-07-21 10:58:03.874] Query: BBOX(56.3109,56.5109,61.8831,62.0831), Zoom: 12, Rows: 1000, SQL Time: 45ms, Total Time: 53ms
[2025-07-21 10:58:03.903] Query: BBOX(56.3084,56.5084,61.9055,62.1055), Zoom: 12, Rows: 1000, SQL Time: 16ms, Total Time: 22ms
[2025-07-21 10:58:03.927] Query: BBOX(56.3058,56.5058,61.9229,62.1229), Zoom: 12, Rows: 1000, SQL Time: 12ms, Total Time: 17ms
[2025-07-21 10:58:03.956] Query: BBOX(56.3047,56.5047,61.9409,62.1409), Zoom: 12, Rows: 1000, SQL Time: 18ms, Total Time: 21ms
[2025-07-21 10:58:04.000] Query: BBOX(56.3035,56.5035,61.9667,62.1667), Zoom: 12, Rows: 1000, SQL Time: 31ms, Total Time: 36ms
